Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,26.079659,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,26.265144,480500
2/2/1993,44.21875,44.375,44.125,44.34375,26.320782,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,26.599014,529400
2/4/1993,44.96875,45.09375,44.46875,45,26.710312,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,26.691771,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,26.691771,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,26.506264,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,26.543377,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,26.67321,19500
2/12/1993,44.875,44.875,44.59375,44.59375,26.469183,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,25.80142,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,25.782877,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,25.76432,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,25.857061,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,25.949802,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,25.931261,373700
2/24/1993,43.71875,44.25,43.71875,44.25,26.265144,26300
2/25/1993,44.21875,44.375,44.125,44.34375,26.320782,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,26.357893,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,26.283688,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,26.67321,182400
3/3/1993,45,45.15625,44.9375,45.125,26.784517,280100
3/4/1993,45.1875,45.1875,44.875,44.875,26.636116,89500
3/5/1993,44.9375,45.125,44.71875,44.75,26.561911,40000
3/8/1993,44.84375,45.75,44.84375,45.75,27.15547,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,27.062748,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,27.118374,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,27.04418,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,26.765968,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,26.895802,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,26.895802,30800
3/17/1993,45.25,45.25,44.96875,45.03125,26.728855,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,26.895802,59300
3/19/1993,45.28125,45.28125,45.03125,45.03125,26.855091,66900
3/22/1993,44.59375,44.875,44.5625,44.78125,26.706015,183400
3/23/1993,44.90625,44.9375,44.8125,44.875,26.761911,55200
3/24/1993,44.8125,45.0625,44.59375,44.875,26.761911,37200
3/25/1993,44.90625,45.25,44.84375,45.15625,26.929644,110100
