,opn,high,low,close,volume,epochDate,date
0,1111.3,1122.56,1111.01,1121.345,182316.0,1551364200000,2019-02-28 06:30:00-08:00
1,1121.43,1121.48,1115.37,1118.325,86222.0,1551366000000,2019-02-28 07:00:00-08:00
2,1119.1,1123.182,1117.91,1121.96,119650.0,1551367800000,2019-02-28 07:30:00-08:00
3,1122.05,1124.37,1120.0,1124.0,121223.0,1551369600000,2019-02-28 08:00:00-08:00
4,1123.985,1126.0,1123.82,1125.5,90270.0,1551371400000,2019-02-28 08:30:00-08:00
5,1125.5,1127.65,1124.4689,1126.3492,60753.0,1551373200000,2019-02-28 09:00:00-08:00
6,1126.39,1127.16,1125.53,1126.72,38998.0,1551375000000,2019-02-28 09:30:00-08:00
7,1126.92,1127.07,1124.5401,1125.32,44901.0,1551376800000,2019-02-28 10:00:00-08:00
8,1125.16,1125.42,1122.435,1123.69,27957.0,1551378600000,2019-02-28 10:30:00-08:00
9,1123.69,1124.0472,1120.8012,1122.427,43923.0,1551380400000,2019-02-28 11:00:00-08:00
10,1121.7624,1122.31,1120.2429,1121.305,30157.0,1551382200000,2019-02-28 11:30:00-08:00
11,1121.4,1121.88,1120.6956,1121.57,40286.0,1551384000000,2019-02-28 12:00:00-08:00
12,1121.44,1122.39,1117.37,1120.65,230417.0,1551385800000,2019-02-28 12:30:00-08:00
13,1124.9,1132.78,1124.75,1132.235,183175.0,1551450600000,2019-03-01 06:30:00-08:00
14,1131.55,1134.88,1128.36,1129.235,95371.0,1551452400000,2019-03-01 07:00:00-08:00
15,1129.08,1133.71,1128.75,1132.03,77331.0,1551454200000,2019-03-01 07:30:00-08:00
16,1131.92,1132.0949,1128.81,1130.19,63025.0,1551456000000,2019-03-01 08:00:00-08:00
17,1130.5,1131.95,1128.3708,1129.57,80940.0,1551457800000,2019-03-01 08:30:00-08:00
18,1129.78,1134.11,1129.39,1133.78,65969.0,1551459600000,2019-03-01 09:00:00-08:00
19,1134.01,1135.71,1133.56,1135.45,71178.0,1551461400000,2019-03-01 09:30:00-08:00
20,1135.32,1136.65,1134.3732,1136.09,57809.0,1551463200000,2019-03-01 10:00:00-08:00
21,1136.32,1139.4,1135.97,1139.3725,112623.0,1551465000000,2019-03-01 10:30:00-08:00
22,1139.41,1142.0,1138.74,1141.61,79922.0,1551466800000,2019-03-01 11:00:00-08:00
23,1141.58,1142.97,1139.16,1140.11,77568.0,1551468600000,2019-03-01 11:30:00-08:00
24,1140.6,1140.99,1138.1108,1138.92,83033.0,1551470400000,2019-03-01 12:00:00-08:00
25,1139.23,1142.63,1138.69,1141.4,230422.0,1551472200000,2019-03-01 12:30:00-08:00
26,1146.99,1158.2804,1145.0,1157.3,226217.0,1551709800000,2019-03-04 06:30:00-08:00
27,1157.82,1157.82,1148.8808,1151.3699,88042.0,1551711600000,2019-03-04 07:00:00-08:00
28,1151.3722,1151.82,1147.5662,1148.03,75732.0,1551713400000,2019-03-04 07:30:00-08:00
29,1147.8,1149.24,1139.83,1139.83,91511.0,1551715200000,2019-03-04 08:00:00-08:00
