,opn,high,low,close,volume,epochDate,date
0,43.58,43.7275,43.4875,43.5725,10635552.0,1551364200000,2019-02-28 06:30:00-08:00
1,43.5713,43.5713,43.4325,43.4625,9594124.0,1551366000000,2019-02-28 07:00:00-08:00
2,43.4625,43.5477,43.3975,43.43,7397908.0,1551367800000,2019-02-28 07:30:00-08:00
3,43.4275,43.5275,43.35,43.495,4611372.0,1551369600000,2019-02-28 08:00:00-08:00
4,43.495,43.605,43.475,43.5425,3749220.0,1551371400000,2019-02-28 08:30:00-08:00
5,43.545,43.555,43.455,43.52,3204408.0,1551373200000,2019-02-28 09:00:00-08:00
6,43.52,43.5925,43.495,43.5725,6529216.0,1551375000000,2019-02-28 09:30:00-08:00
7,43.57,43.5825,43.5125,43.525,4165740.0,1551376800000,2019-02-28 10:00:00-08:00
8,43.5263,43.57,43.5163,43.555,2460956.0,1551378600000,2019-02-28 10:30:00-08:00
9,43.555,43.5875,43.505,43.5675,3103708.0,1551380400000,2019-02-28 11:00:00-08:00
10,43.5675,43.57,43.4775,43.5275,3494332.0,1551382200000,2019-02-28 11:30:00-08:00
11,43.5263,43.5275,43.46,43.5025,4677876.0,1551384000000,2019-02-28 12:00:00-08:00
12,43.5025,43.5425,43.23,43.3,14313316.0,1551385800000,2019-02-28 12:30:00-08:00
13,43.57,43.62,43.3948,43.555,9503748.0,1551450600000,2019-03-01 06:30:00-08:00
14,43.5525,43.5538,43.3575,43.4053,6285068.0,1551452400000,2019-03-01 07:00:00-08:00
15,43.4075,43.485,43.345,43.42,5799852.0,1551454200000,2019-03-01 07:30:00-08:00
16,43.4213,43.4263,43.2225,43.3325,6282544.0,1551456000000,2019-03-01 08:00:00-08:00
17,43.3325,43.3525,43.2275,43.3348,9423016.0,1551457800000,2019-03-01 08:30:00-08:00
18,43.335,43.475,43.325,43.4613,5137884.0,1551459600000,2019-03-01 09:00:00-08:00
19,43.4625,43.56,43.4525,43.5475,5438240.0,1551461400000,2019-03-01 09:30:00-08:00
20,43.5475,43.58,43.505,43.5359,3799944.0,1551463200000,2019-03-01 10:00:00-08:00
21,43.5375,43.6575,43.53,43.6287,4148260.0,1551465000000,2019-03-01 10:30:00-08:00
22,43.63,43.785,43.5825,43.775,7365636.0,1551466800000,2019-03-01 11:00:00-08:00
23,43.7771,43.7875,43.6875,43.7444,4777496.0,1551468600000,2019-03-01 11:30:00-08:00
24,43.745,43.745,43.67,43.6975,5011688.0,1551470400000,2019-03-01 12:00:00-08:00
25,43.7025,43.7825,43.6941,43.7425,11771288.0,1551472200000,2019-03-01 12:30:00-08:00
26,43.9225,44.415,43.91,44.3691,17615100.0,1551709800000,2019-03-04 06:30:00-08:00
27,44.3725,44.4375,44.1625,44.3375,11356248.0,1551711600000,2019-03-04 07:00:00-08:00
28,44.34,44.35,44.155,44.1775,6763832.0,1551713400000,2019-03-04 07:30:00-08:00
29,44.175,44.1888,43.98,44.0819,8279104.0,1551715200000,2019-03-04 08:00:00-08:00
30,44.0825,44.1075,43.6908,43.8,9312320.0,1551717000000,2019-03-04 08:30:00-08:00
31,43.7988,43.875,43.4925,43.6325,7821396.0,1551718800000,2019-03-04 09:00:00-08:00
32,43.628,43.7025,43.5675,43.695,6056532.0,1551720600000,2019-03-04 09:30:00-08:00
33,43.6925,43.825,43.6025,43.8025,4253008.0,1551722400000,2019-03-04 10:00:00-08:00
34,43.805,43.875,43.7625,43.8546,4271432.0,1551724200000,2019-03-04 10:30:00-08:00
35,43.8525,43.93,43.805,43.9125,3800644.0,1551726000000,2019-03-04 11:00:00-08:00
36,43.915,43.9275,43.83,43.87,3880536.0,1551727800000,2019-03-04 11:30:00-08:00
37,43.865,43.8925,43.8075,43.835,3841272.0,1551729600000,2019-03-04 12:00:00-08:00
38,43.8375,43.9925,43.82,43.965,10409572.0,1551731400000,2019-03-04 12:30:00-08:00
39,43.985,44.0,43.6915,43.72,10911896.0,1551796200000,2019-03-05 06:30:00-08:00
40,43.72,43.885,43.635,43.6775,8381496.0,1551798000000,2019-03-05 07:00:00-08:00
41,43.675,43.8025,43.6725,43.7925,6005344.0,1551799800000,2019-03-05 07:30:00-08:00
42,43.7925,43.915,43.7675,43.8525,5221704.0,1551801600000,2019-03-05 08:00:00-08:00
43,43.8543,43.9875,43.8325,43.8775,4626388.0,1551803400000,2019-03-05 08:30:00-08:00
44,43.8775,43.8875,43.7725,43.802,3552012.0,1551805200000,2019-03-05 09:00:00-08:00
45,43.805,43.8425,43.7725,43.815,2733340.0,1551807000000,2019-03-05 09:30:00-08:00
46,43.8175,43.8675,43.805,43.8125,2751744.0,1551808800000,2019-03-05 10:00:00-08:00
47,43.815,43.85,43.7888,43.845,2309336.0,1551810600000,2019-03-05 10:30:00-08:00
48,43.845,43.905,43.8418,43.89,2418408.0,1551812400000,2019-03-05 11:00:00-08:00
49,43.89,43.925,43.8575,43.9163,2493952.0,1551814200000,2019-03-05 11:30:00-08:00
50,43.9163,43.92,43.87,43.8813,3150340.0,1551816000000,2019-03-05 12:00:00-08:00
51,43.8813,43.9625,43.875,43.8775,7484492.0,1551817800000,2019-03-05 12:30:00-08:00
52,43.6675,43.7575,43.485,43.7225,13773328.0,1551882600000,2019-03-06 06:30:00-08:00
53,43.7238,43.8725,43.7025,43.7325,8126588.0,1551884400000,2019-03-06 07:00:00-08:00
54,43.7275,43.8075,43.6675,43.7988,4581412.0,1551886200000,2019-03-06 07:30:00-08:00
55,43.8025,43.8675,43.7125,43.735,4470184.0,1551888000000,2019-03-06 08:00:00-08:00
56,43.735,43.765,43.6425,43.73,4938204.0,1551889800000,2019-03-06 08:30:00-08:00
57,43.73,43.8,43.6775,43.7075,3759148.0,1551891600000,2019-03-06 09:00:00-08:00
58,43.7075,43.77,43.655,43.6886,2984580.0,1551893400000,2019-03-06 09:30:00-08:00
59,43.69,43.7125,43.62,43.6325,3087776.0,1551895200000,2019-03-06 10:00:00-08:00
60,43.6325,43.7125,43.6225,43.6888,5111736.0,1551897000000,2019-03-06 10:30:00-08:00
61,43.69,43.73,43.6725,43.6925,2745016.0,1551898800000,2019-03-06 11:00:00-08:00
62,43.6934,43.7088,43.6375,43.67,3509340.0,1551900600000,2019-03-06 11:30:00-08:00
63,43.6675,43.7075,43.59,43.635,5248280.0,1551902400000,2019-03-06 12:00:00-08:00
64,43.635,43.7175,43.6125,43.6275,7657592.0,1551904200000,2019-03-06 12:30:00-08:00
65,43.4675,43.61,43.3625,43.3825,11935208.0,1551969000000,2019-03-07 06:30:00-08:00
66,43.385,43.3875,43.005,43.1825,11711380.0,1551970800000,2019-03-07 07:00:00-08:00
