,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
0,,,,,,,0
1,,,,,,,0
2,,,,,,,0
3,,,,,,,0
4,,,,,,,0
5,,,,,,,0
6,,,,,,,0
7,,,,,,,0
8,,,,,,,0
9,,,,,,,0
10,,,,,,,0
11,,,,,,,0
12,,,,,,,0
13,,,,,,,0
14,,,,,,,0
15,,,,,,,0
16,,,,,,,0
17,,,,,,,0
18,,,,,,,0
19,,,,,,,0
20,,,,,,,0
21,,,,,,,0
22,,,,,,,0
23,,,,,,,0
24,,,,,,,0
25,,,,,,,0
26,,,,,,,0
27,,,,,,,0
28,,,,,,,0
29,,,,,,,0
30,,,,,,,0
31,,,,,,,0
32,,,,,,,0
33,,,,,,,0
34,,,,,,,0
35,,,,,,,0
36,,,,,,,0
37,,,,,,,0
38,,,,,,,0
39,,,,,,,0
40,,,,,,,0
41,,,,,,,0
42,,,,,,,0
43,,,,,,,0
44,,,,,,,0
45,,,,,,,0
46,,,,,,,0
47,,,,,,,0
48,,,,,,,0
49,,,,,,,0
50,,,,,,,0
51,,,,,,,0
52,,,,,,,0
53,,,,,,,0
54,,,,,,,0
55,,,,,,,0
56,,,,,,,0
57,,,,,,,0
58,,,,,,,0
59,,,,,,,0
60,,,,,,,0
61,,,,,,,0
62,,,,,,,0
63,,,,,,,0
64,,,,,,,0
65,,,,,,,0
66,,,,,,,0
67,,,,,,,0
68,,,,,,,0
69,,,,,,,0
70,,,,,,,0
71,,,,,,,0
72,,,,,,,0
73,,,,,,,0
74,,,,,,,0
75,,,,,,,0
76,,,,,,,0
77,,,,,,,0
78,,,,,,,0
79,,,,,,,0
80,,,,,,,0
81,,,,,,,0
82,,,,,,,0
83,,,,,,,0
84,,,,,,,0
85,,,,,,,0
86,,,,,,,0
87,,,,,,,0
88,,,,,,,0
89,,,,,,,0
90,-0.6263315094098367,1.838279851104902,-0.792729013963886,-0.5276890870021738,1.3165552629076915,-0.5031272555175035,23
91,,,,,,,0
92,0.591819167137146,1.1453256805737813,-2.00809512535731,1.0648995637893677,1.1520954767862956,-2.526560068130493,3
93,,,,,,,0
94,,,,,,,0
95,-0.6998530477285385,1.4963273704051971,-0.35878011584281916,-0.173983633518219,2.2301774621009827,-1.633145272731781,2
96,-1.590476393699646,1.3076752424240112,1.0183488130569458,-1.5080581903457642,-0.5599825382232666,2.6012020111083984,1
97,,,,,,,0
98,,,,,,,0
99,,,,,,,0
100,,,,,,,0
101,-1.2563471794128418,2.0592710971832275,0.2351055145263672,0.7071820497512817,1.869044303894043,-2.373728513717652,1
102,,,,,,,0
103,-0.8399305904382154,0.9382614148290533,0.2615368250561388,-0.548097918692388,1.0176906554322493,-0.07679827903446398,19
104,-0.3676157246033351,1.5155102014541626,-0.8507772361238798,-0.6005462855100632,0.8668785889943441,0.5209333201249441,3
105,,,,,,,0
106,,,,,,,0
107,-0.5971093773841858,2.4724862575531006,-1.3244258165359497,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
108,-1.5956073999404907,1.5936901569366455,1.0135551691055298,-1.5196293592453003,0.4244613647460937,1.982798218727112,1
109,,,,,,,0
110,-1.4564330577850342,-0.5633475184440613,2.466516494750977,1.09324049949646,1.37598717212677,-2.699219226837158,1
111,,,,,,,0
112,,,,,,,0
113,,,,,,,0
114,,,,,,,0
115,-0.061673104763031006,1.8746628761291504,-1.3006936311721802,-0.2554074004292488,0.9863532185554504,-0.2451673522591591,2
116,0.4298327366511027,1.340193271636963,-1.7956141233444214,0.06351070354382198,1.3426603476206462,-1.087330048282941,6
117,-0.1250968724489212,2.1381355126698813,-1.5788877805074055,0.16445009658734003,0.9860577583312988,-0.782356321811676,3
118,,,,,,,0
119,-1.3598382472991943,2.029703140258789,0.0161106996238231,0.7775477766990662,1.853010416030884,-2.6955668926239014,1
120,,,,,,,0
121,-0.1477366983890533,2.410685777664185,-2.13590669631958,-0.9026466012001038,2.6257925033569336,-1.2231401205062866,1
122,1.5195951461791992,0.5374292135238647,-2.5355985164642334,0.9260067343711852,1.1191333532333374,-2.230142116546631,1
123,,,,,,,0
124,-0.3322277069091797,1.8892478942871092,-0.918547511100769,-1.5880260467529297,0.6558048725128174,2.1039822101593018,1
125,,,,,,,0
126,-0.686095118522644,2.484954833984375,-1.2359589338302612,-0.1818326711654663,2.4086222648620605,-1.9456350803375244,1
127,-0.4727515280246734,2.5534987449646,-1.705950379371643,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
128,,,,,,,0
129,0.16829645964834428,1.211256900595294,-1.3950897521442838,0.8204513639211655,0.5735807932085462,-1.7320178747177124,9
130,-0.2432094812393188,2.4559426307678223,-1.8707424402236936,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
131,,,,,,,0
132,,,,,,,0
133,-0.1165935769677162,2.4283671379089355,-1.9751595258712769,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
134,-1.4828671216964722,-0.719482958316803,2.516291856765747,-1.7961949110031128,-0.2749066352844238,2.684699535369873,1
135,,,,,,,0
136,-0.8675771132111549,1.0633202642202375,0.2271857261657717,0.2266974300146103,0.3930890560150146,-0.2787887752056122,2
137,-0.5121000409126282,2.422531843185425,-1.5774500370025637,-0.9586039185523988,2.414928674697876,-1.1326375007629397,1
138,1.407496452331543,0.851255476474762,-2.4897522926330566,-0.8700141906738281,1.1102603673934937,0.3903592824935913,1
139,,,,,,,0
140,,,,,,,0
141,,,,,,,0
