,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
0,,,,,,,0
1,,,,,,,0
2,,,,,,,0
3,,,,,,,0
4,,,,,,,0
5,,,,,,,0
6,,,,,,,0
7,,,,,,,0
8,,,,,,,0
9,,,,,,,0
10,,,,,,,0
11,,,,,,,0
12,,,,,,,0
13,,,,,,,0
14,,,,,,,0
15,,,,,,,0
16,,,,,,,0
17,,,,,,,0
18,,,,,,,0
19,,,,,,,0
20,,,,,,,0
21,,,,,,,0
22,,,,,,,0
23,,,,,,,0
24,,,,,,,0
25,,,,,,,0
26,,,,,,,0
27,,,,,,,0
28,,,,,,,0
29,,,,,,,0
30,,,,,,,0
31,,,,,,,0
32,,,,,,,0
33,,,,,,,0
34,,,,,,,0
35,,,,,,,0
36,,,,,,,0
37,,,,,,,0
38,,,,,,,0
39,,,,,,,0
40,,,,,,,0
41,,,,,,,0
42,,,,,,,0
43,,,,,,,0
44,,,,,,,0
45,,,,,,,0
46,,,,,,,0
47,,,,,,,0
48,,,,,,,0
49,,,,,,,0
50,,,,,,,0
51,,,,,,,0
52,,,,,,,0
53,,,,,,,0
54,,,,,,,0
55,,,,,,,0
56,,,,,,,0
57,,,,,,,0
58,,,,,,,0
59,,,,,,,0
60,,,,,,,0
61,,,,,,,0
62,,,,,,,0
63,,,,,,,0
64,,,,,,,0
65,,,,,,,0
66,,,,,,,0
67,,,,,,,0
68,,,,,,,0
69,,,,,,,0
70,,,,,,,0
71,,,,,,,0
72,,,,,,,0
73,,,,,,,0
74,,,,,,,0
75,,,,,,,0
76,,,,,,,0
77,,,,,,,0
78,,,,,,,0
79,,,,,,,0
80,,,,,,,0
81,,,,,,,0
82,,,,,,,0
83,,,,,,,0
84,,,,,,,0
85,,,,,,,0
86,,,,,,,0
87,,,,,,,0
88,,,,,,,0
89,,,,,,,0
90,-0.481426568236202,2.0972697166725993,-1.179716917918995,-0.32591368875000626,1.598714112304151,-0.8970108721405268,32
91,,,,,,,0
92,-0.7645641565322876,2.492421865463257,-1.3141844272613523,1.0381544828414917,1.404082179069519,-2.412724733352661,1
93,,,,,,,0
94,,,,,,,0
95,-1.1059335470199585,1.3179372251033783,0.441435519605875,0.4142177700996399,1.986392080783844,-2.2965426445007324,2
96,-1.590476393699646,1.3076752424240112,1.0183488130569458,-1.5080581903457642,-0.5599825382232666,2.6012020111083984,1
97,,,,,,,0
98,-0.9482865333557128,-0.0387337915599346,1.0694290399551392,-1.8718611001968384,0.3544078767299652,2.5599544048309326,1
99,,,,,,,0
100,1.221693515777588,1.3415920734405518,-2.66935658454895,1.2886613607406616,0.1038708835840225,-2.307932138442993,1
101,,,,,,,0
102,,,,,,,0
103,-0.8825743893210433,1.6197931095957756,-0.049071817707858574,-0.6780209812874857,0.8845409814660486,0.31588555950867503,38
104,-0.4363113343715668,1.0186523795127869,-0.3215401284396648,-1.0141681432724,1.1037733554840088,0.9207943677902222,2
105,-0.8415497541427612,2.498021125793457,-1.0439152717590332,-0.9792009592056274,2.307985782623291,-0.7609612345695496,1
106,,,,,,,0
107,-1.6209956407546997,0.0917560309171676,2.5550262928009038,-1.4315351247787476,1.233332276344299,1.2491201162338257,1
108,,,,,,,0
109,0.4653447493910789,2.0882886052131653,-2.54196834564209,-0.2536211386322975,1.4848304986953735,-0.9233311861753464,2
110,,,,,,,0
111,,,,,,,0
112,-1.1733651161193848,2.5255781412124634,-0.6437323391437532,-1.0600637197494507,2.411147356033325,-0.81667160987854,2
113,-0.9434011578559875,2.337408781051636,-0.582512378692627,-1.6864440441131592,1.3717546463012695,1.4950706958770752,1
114,-1.2880609035491943,1.240994572639465,0.8363401293754578,0.6013596653938293,1.8504616022109983,-2.4959845542907715,1
115,,,,,,,0
116,-0.45890471955331474,1.6002961180817623,-0.7319299090080537,-0.3525821241156126,1.1650796562003403,-0.4342305604368448,52
117,,,,,,,0
118,-0.09770347146938245,1.2834034264087677,-0.9107811450958253,-0.3910892605781556,1.3307677110036213,-0.37473129232724506,3
119,-0.26428885757923126,1.2438592091202736,-0.6031726710498333,0.10181438922882075,1.4743878468871117,-1.2458671927452087,4
120,,,,,,,0
